animal,retina,raw_conc,retina_wt,body_wt,day,ZT,sex,dose,tissue
4PM 21M,LR,51.166,5.1,27.5,1,9,M,21.82,retina
4PM 22M,RR,59.620,4.2,28.5,1,9,M,21.05,retina
4PM 22M,LR,79.736,4.8,28.5,1,9,M,21.05,retina
4PM 23M,RR,74.665,5.4,32.4,1,9,M,18.52,retina
4PM 23M,LR,78.686,4.7,32.4,1,9,M,18.52,retina
4PM 24M,RR,27.803,7.2,28.2,1,9,M,21.28,retina
4PM 24M,LR,25.768,7.7,28.2,1,9,M,21.28,retina
6PM 17M,RR,45.682,5.1,29,1,11,M,20.69,retina
6PM 17M,LR,47.911,4,29,1,11,M,20.69,retina
6PM 18M,RR,66.272,4.9,31.2,1,11,M,19.23,retina
6PM 18M,LR,54.743,5.4,31.2,1,11,M,19.23,retina
6PM 19M,RR,64.860,6.7,29.9,1,11,M,20.07,retina
6PM 19M,LR,64.627,3.8,29.9,1,11,M,20.07,retina
6PM 20M,RR,37.904,4.3,32.1,1,11,M,18.69,retina
6PM 20M,LR,40.813,4.4,32.1,1,11,M,18.69,retina
6PM 21M,RR,42.416,4.1,29.3,1,11,M,20.48,retina
6PM 21M,LR,53.736,4.3,29.3,1,11,M,20.48,retina
6PM 22M,RR,65.917,3.9,29.4,1,11,M,20.41,retina
6PM 22M,LR,86.361,4.4,29.4,1,11,M,20.41,retina
8PM 12M,RR,82.818,4.7,26.2,1,13,M,19.08,retina
8PM 12M,LR,91.661,3.7,26.2,1,13,M,19.08,retina
8PM 13M,RR,96.214,4.9,26.9,1,13,M,18.59,retina
8PM 13M,LR,110.906,3.5,26.9,1,13,M,18.59,retina
8PM 14M,RR,116.212,2.8,24.6,1,13,M,20.33,retina
8PM 14M,LR,82.546,4,24.6,1,13,M,20.33,retina
8PM 15M,RR,163.909,4,24.2,1,13,M,20.66,retina
8PM 15M,LR,206.825,4.8,24.2,1,13,M,20.66,retina
8PM 16M,RR,187.961,4.2,26.5,1,13,M,18.87,retina
8PM 16M,LR,204.418,3.8,26.5,1,13,M,18.87,retina
